"","X","county","county_name","county_pop","per_police_white_cl","per_police_asian_cl","per_police_hisp_cl","per_police_black_cl","per_subject_white_cl","per_subject_asian_cl","per_subject_hisp_cl","per_subject_black_cl","per_officers_injured_cl","per_subjects_injured_cl","pct_complaince_hold_cl","pct_hands_fists_cl","pct_pepper_spray_cl","pct_baton_cl","pct_leg_strikes_cl","pct_take_down_cl","pct_deadly_force_cl","pct_resisted_police_cl","pct_physical_attack_cl","pct_knife_attack_cl","pct_blunt_attack_cl","pct_gun_threat_cl","pct_gun_fire_cl","pct_car_attack_cl","total_rows_cl","ratio_rows_pop_cl","total_incidents_cl","ratio_inc_pop_cl","total_arrests_cl","ratio_arr_pop_cl","total_population","per_citizen_white_cl","per_citizen_black_cl","per_citizen_asian_cl","per_citizen_hisp_cl"
"11",11,"union"," Union County",515617,45.6021092515103,0.458302020603409,5.77505789467822,2.99105763428575,40.8355790923255,0.415254739854173,12.0549128608415,45.018385566047,11.7129060225606,17.7691998799244,83.8298092835855,30.9448150991197,11.1631393319613,1.66347942805979,3.41956519913222,3.42730112994538,0.342453713530904,89.005209440536,34.5419236467496,0.686502006437592,0.742683468284849,0.264654918849534,0.13038541653693,1.52286389474294,763,0.00147978053477678,11102,0.0215314855794126,11102,0.0215314855794126,575345,0.409488273123083,0.195123355551886,0.0555648414429603,0.339823529882071
"12",12,"burlington"," Burlington County",343283,69.7961043809237,1.08554044161793,1.36866361320103,5.20819940764503,55.7187588999707,0.642022495747983,4.11691239543575,36.7752015790662,11.9060329820447,18.7499865132547,79.4781469274405,18.8091018341913,5.30911615392123,1.38749765029256,2.59742820414539,7.69835099706538,0.261609983506489,90.9608226054496,29.8076432541835,0.50400857952298,0.623162459899025,0.120993127313703,0.0256885885331986,0.91778788585731,458,0.00133417617534221,11315,0.0329611428471553,11315,0.0329611428471553,461860,0.694341928289958,0.161956633611917,0.0562422887888105,0.0874591493093145
"13",13,"passaic"," Passaic County",524118,37.5415177454488,0.728488546802758,7.85232413546418,1.38472574058562,41.2201317298723,0.635962693965311,23.1979336769144,30.3710550788033,11.9233287055329,21.9381950904738,78.5303287332497,33.5678969685356,7.11885023603116,2.79650850395835,4.32498659256138,5.23873279800198,0.49027759480781,89.5972454054429,35.2767508636935,0.62141951145654,0.837303852633439,0.855899407874553,0.0326124592596934,1.07947168464041,767,0.00146341091128334,14740,0.0281234378517815,14740,0.0281234378517815,524118,0.415986247371775,0.0989671144665896,0.0576216613434379,0.427424976818197
"14",14,"morris"," Morris County",322209,79.3792301144717,0.376736356773889,1.27436570111426,0.97619020901805,74.5564402333369,2.50466334184181,3.70354478893568,9.89587635874565,10.9113459516625,18.713078893118,85.02949599584,27.0584322895188,6.24126630357563,0.978023481640199,2.9314167351745,2.92359952049579,0.113520332217955,90.3621923957656,39.0730694896197,1.33218019213008,1.43007359062098,0.113520332217955,0,0.436349782443343,361,0.00112039080224326,6591,0.0204556669739207,6591,0.0204556669739207,509285,0.705576237273825,0.0305981436720108,0.11329742364295,0.150528195411214
"15",15,"sussex"," Sussex County",94809,93.861397389582,0,4.03533518205457,0.327529852442933,88.7372570554492,0,4.5261388120446,6.07306832263703,12.7618979184698,21.7746341373723,90.1993913507052,29.9915823909638,9.59062394848011,0.410762549599721,1.306053216551,3.90150676684114,0.256592440853084,91.7080040306028,44.2077323005799,2.00551036383721,0.908226078623253,2.52887652170889,0,0.406367251262876,102,0.00107584722969338,1697,0.0178991445959772,1697,0.0178991445959772,144221,0.860731935016398,0.0198243931188939,0.0202245158472067,0.0992191560175009
"16",16,"middlesex"," Middlesex County",848526,70.6916401683367,2.02509710564432,2.1234456330454,3.37925335955919,59.1317532528931,2.0088721464451,7.31947553570934,29.8287083325857,9.27334923013081,23.5574419044984,84.3862683727946,28.4317764394777,8.23709350015179,1.27830001781182,4.46936201141835,17.3796671018542,0.557422764337939,90.9328771752172,33.7396211459473,1.01808353582335,0.814228560859632,0.858592799091111,0.0342846163310411,1.20789918435607,1013,0.00119383495614748,16663,0.0196375832914961,16663,0.0196375832914961,863162,0.420283473438358,0.0912076963536393,0.264113433283671,0.224395396924332
"17",17,"gloucester"," Gloucester County",201018,79.5242626223541,0.0162195550917331,2.25908094110543,4.01383170284396,62.8245076225329,0.423547175197276,3.06229363828309,29.3139376306024,7.20509139692721,15.7479499404146,87.1763879391555,23.5182575702163,8.98016739913316,1.79420914055946,3.26030612373908,3.46404713426223,0.0543566579389607,88.6822742664399,34.5278781139065,0.491665808009119,1.28113220522134,0.439348863902098,0.0543566579389607,0.586286372650638,470,0.00233809907570466,9531,0.0474136644479599,9531,0.0474136644479599,302294,0.791176132175961,0.10425611027675,0.0313533897464058,0.0732143678008826
"18",18,"hunterdon"," Hunterdon County",51444,41.2410670737586,0,0.874917012097737,0,63.4784564625809,1.46108945095399,2.81923756208975,9.88098015080554,9.33174748439145,13.9517404041045,51.4117630158804,15.9559169924009,4.8253494040573,1.26518953166165,1.64325061447454,7.38057215406127,2.0116109688836,73.4505332157589,37.2215534256986,2.81742982911686,2.87682725230546,1.61163772064381,0,0,38,0.000738667288702278,1154,0.0224321592411166,1154,0.0224321592411166,128947,0.847719843036286,0.0235042273182005,0.0440143020000465,0.0847616276454667
"19",19,"mercer"," Mercer County",337250,48.3878018555956,0.136004527384113,4.71247305677846,6.08050717766507,38.5936466434131,2.13439924642736,9.2169774738517,48.7615610245965,10.0455780064062,22.5391112080803,84.6968505831906,24.3428737362073,13.3135024131607,1.29653694677584,4.16998731792479,11.2928293734698,0.238207121717302,93.1408732346919,31.8846558667018,1.06499641846416,0.91200762176419,0.928710965757444,0.093965823218808,0.325908502621936,550,0.00163083765752409,10435,0.030941438102298,10435,0.030941438102298,387340,0.471125281664687,0.186818127484897,0.124762794444158,0.217293796406258
"20",20,"cumberland"," Cumberland County",88271,65.8733505730534,0,0.210055326768021,2.47865285971859,48.7823450060906,0.147128496413545,5.03432692847424,44.8045040045454,7.305156671752,19.9029936068812,77.0452822248107,22.0587391421125,5.00280645172562,0.631551227702292,5.72525294252952,3.99936269442458,0.126033196198525,79.9055774406205,33.2095734808477,0.592976728339319,0.555787475686012,0.723831736825005,0.294077458026079,0.177687886401876,417,0.00472408831892694,4867,0.0551370212187468,4867,0.0551370212187468,154152,0.47139343764596,0.171099738569723,0.0133169897244278,0.344189834059889
"21",21,"salem"," Salem County",22546,88.9504277512082,0,0.692061820647742,4.38305819757873,57.903324746991,0,5.16541451467223,30.4270821760818,7.37144487799521,16.8112353644593,9.12933124610441,1.07218557982383,3.01451686126249,0,1.07218557982383,12.6864734425308,0,85.0367747633687,28.5369002302537,0.230687273477734,1.60174582392114,0,0,0,24,0.00106449037523286,764,0.0338862769449126,764,0.0338862769449126,64837,0.749626299797955,0.139561005290189,0.0100163995866558,0.1007962953252
